# One publisher-pinned identity owns each fetched artifact used by a measured
# campaign. Downloaders and measurement runners read this ledger rather than
# duplicating byte counts and digests in separate programs.
#
# Every remote/download-*.sh language-model or projector artifact has a row
# here, keyed by the model ID its own script or remote/models.tsv names.
# remote/image-artifacts.tsv carries the SD 1.5, SD-Turbo, SDXS-512, and
# LCM-LoRA image-lane files instead: that ledger's component_type, license,
# and fetch_script columns describe what remote/image-models.tsv bundles
# resolve each file into, a claim this six-column schema has no room for, and
# splitting the two ledgers keeps a bundle's component resolution independent
# of a language model's directory-derived install path.
# remote/download-quality-photo.sh pins a Wikimedia fixture through a bare
# URL rather than a HuggingFace repository and revision pair, so it carries no
# row: the source_repository column's owner/name shape has nothing to hold.
# model_id	model_file	expected_bytes	expected_sha256	source_repository	source_revision
qwen35-08b	Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf	833592096	37ae482d336108d23516fa35e8e0c4126688d81018b87178a18d752a1357814f	ggml-org/Qwen3.5-0.8B-GGUF	8fea620810c4afa23dd6443f999a48574c1611a3
qwen38-2b-distill	Qwen3.8-2B-Distill-GGUF/Qwen3.8-2B-Q4_K_M.gguf	1312164224	4aa0fb13c431514262f259d420ecc95a8714df58ac2a2384514e20b93983f0ff	empero-ai/Qwen3.8-2B-Distill-GGUF	f4f73582d0b149595450c719b9a7521a03894f9c
qwen38-4b-distill	Qwen3.8-4B-Distill-GGUF/Qwen3.8-4B-Q4_K_M.gguf	2783446304	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790	empero-ai/Qwen3.8-4B-Distill-GGUF	391fc7d103e3942a408def3e4f51c2f85d464417
lfm25-vl-16b-mmproj	LFM2.5-VL-1.6B-GGUF/mmproj-LFM2.5-VL-1.6b-Q8_0.gguf	583109888	2ce89e610c56f3198ece2b86cf61743a08b9307279c89125eb2412ebb908689d	LiquidAI/LFM2.5-VL-1.6B-GGUF	36fc16bc95133424921bcc3da009e83b2f23ffb5
lfm25-vl-16b	LFM2.5-VL-1.6B-GGUF/LFM2.5-VL-1.6B-Q4_K_M.gguf	730896256	aefc3c97c9eb30d9c0dd6af4c38250f5f5106b57c8cf92de7914c7d0a9c94da2	LiquidAI/LFM2.5-VL-1.6B-GGUF	36fc16bc95133424921bcc3da009e83b2f23ffb5
minicpm5-1b	candidate-staging/minicpm5-1b-stock/MiniCPM5-1B-Q8_0.gguf	1153529216	0dc7638539067268774c275a14a6ec9c7e01f7eeb2cff606c8590361fa527e4c	openbmb/MiniCPM5-1B-GGUF	3d55fac80935ae6456986ad2384b5cbcc4d6c948
minicpm5-1b-fable5-v2	candidate-staging/minicpm5-1b-fable5-v2/MiniCPM5-1B-Claude-Opus-Fable5-V2-Thinking-Q8_0.gguf	1153529184	fc3ee1eddd305c155f63b6bd7bb189daa4d5f226ca325ab219bd7acd3b00ec77	GnLOLot/MiniCPM5-1B-Claude-Opus-Fable5-V2-Thinking-GGUF	1c5821260e77c42e0b350f0248fabcf3c90ecade
ministral3-3b-mmproj	Ministral-3-3B-Instruct-GGUF/mmproj-Ministral-3-3B-Instruct-f16.gguf	840297088	3a9ac557c043fb501029638546724c2d338893b4a113854ab17188254052c000	bartowski/mistralai_Ministral-3-3B-Instruct-2512-GGUF	0a9035302dea19872c96076896304552890a73c2
ministral3-3b	Ministral-3-3B-Instruct-GGUF/Ministral-3-3B-Instruct-Q4_K_M.gguf	2146498528	fec9d28c7f8dab7c6857d54b56c8264cce57d6f6d9003bd4110f6457f071c65a	bartowski/mistralai_Ministral-3-3B-Instruct-2512-GGUF	0a9035302dea19872c96076896304552890a73c2
nanbeige42-3b	Nanbeige4.2-3B-GGUF/Nanbeige4.2-3B-Q4_K_M.gguf	2574807986	18a659d0c1744e5bd2f4b8da55e0dcabf42ec7f005b74ec8eb66593b3380f958	Abiray/Nanbeige4.2-3B-GGUF	774a61f8217ad18e7e102107fb7abcfecfae6a99
qwen35-08b-bf16	Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-bf16.gguf	1557662528	ad1549eedc613064971dcbbbfab6c9b7990984d1c9ab38f792c6f2ec1207bbc2	bartowski/Qwen_Qwen3.5-0.8B-GGUF	f36b1ea49a332ede8fe5f389bbf5b3575ef71f48
qwen35-08b-unsloth-unc	Qwen3.5-0.8B-Uncensored-GGUF/Qwen3.5-0.8B.Q4_K_M.gguf	529297024	190e491ddb9fa66485d0ef46000677413bf47217896b01ca647717a990aca744	tsilva/unsloth_Qwen3.5-0.8B_uncensored	2333f32297e44073d7f7e5259034b4a24c166c67
